Name,Address,Phone
Bharat sales company,"B65-C, Indusrtial area, Mayapuri Industrial Area Phase I, Delhi, 110064",080 4547 5225
Mahi Enterprises | Hi-Papevo,"Block 7, Subhash Nagar, Delhi, 110027",095993 78079
Pearl Engineering Company,"B-94/95, Block B, Mayapuri Industrial Area Phase II, Mayapuri, New Delhi, Delhi 110064",098773 30838
Alfa Elevators Company,"A-13/3, Block A, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi, 110064",095555 56868
Ajanta Food Products Company,"B-104/2, Phase - 1, Naraina Industrial Area, New Delhi, Delhi 110028",093110 41736
JKT Creations,"Block A, 28/1, Block A, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi, 110064",N/A
Verma Steel Company,"B-113, Block B, phase - 1, Mayapuri, New Delhi, Delhi 110064",099908 10404
Towada Products,"second floor, B-256, Industrial Area Phase I, Block B, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi, 110028",099995 62955
MS Chhabra & Company.,"48/49A, Industrial Area Phase I, Block A, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi, 110028",N/A
Masyc Projects Private Limited,"23, Community Centre, Block A, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi, 110064",01276 267 496
Richa Group,"B-34, Block A, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi, 110064",0124 454 9600
Aditya plastics,"13, 1, Block 14, Press Colony, Subhash Nagar, New Delhi, Delhi, 110027",N/A
Sainef Therapeutics Pvt Ltd (Delhi),"B-11, 3rd Floor, Block B, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi, 110064",N/A
Globezza Biotech,"Second floor, Wh-5, Rewari Lane, Mayapuri Industrial Area Phase I, New Delhi, Delhi 110064",1800 889 1898
Padhale and company,"J Block Rd, Block J, Shyam Nagar, Vishnu Garden, Delhi, 110018",098187 85395
Cloudblocks Home Automation India,"FA-36, 2nd Floor, Shivaji Enclave, Rajouri Garden, Delhi, 110027",092666 55468
Canindo lifecare private limited,"Vatika Apartments, Shop No 18, MIG DDA Market, G-8 Area, Rajouri Garden, New Delhi, Delhi 110027",N/A
Jivo Wellness Pvt. Ltd.,"A, 35/1, Block A, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi, 110064",098107 38738
Success Impex Pvt. Ltd.,"A-50/2, Block A, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi, 110064",011 4142 7711
Aluminium Die Casting | Zinc Die Casting | Mould Development - OME Verma Industries,"WH-29, Block B, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi, 110064",099992 44587
